ID Sk,Word Sk,Frequency Sk,Type Sk,Page Sk,ID Cz,Word G Cz,Page G Cz,Word N Cz,Frequency Cz,Page Cz,Comment
139,interpretácia,7,6,121,110,interpretace,188,interpretace,64,24,
,interpunkcia,1,6,125,351,interpunkce,193,interpunkce,3,26,
190,intervencia,2,6,126,,intervence,,intervence,1,27,
,intonácia,1,6,120,76,intonace,188,intonace,5,23,
159,intuícia,2,6,124,,intuice,,intuice,1,26,
,invázia,1,6,137,695,invaze,204,invaze,1,30,
,invencia,1,6,126,399,invence,194,invence,4,27,
,inventarizácia,1,6,123,187,inventarizace,189,inventarizace,16,24,
,inverzia,1,6,137,723,inverze,204,inverze,13,30,
158,investícia,2,6,124,309,investice,192,investice,50,26,
,ionizácia,1,6,123,179,ionizace,189,ionizace,12,24,
236,irónia,9,6,133,540,ironie,198,ironie,3,28,
,Itália,1,6,130,508,Itálie,197,Itálie,22,28,
7,izbica,2,6,106,,,,,0,,
,izolácia,1,6,119,43,izolace,188,izolace,35,23,
,izoméria,1,6,134,552,izomerie,198,izomerie,3,28,
,izomorfia,1,6,128,456,izomorfie,197,izomorfie,1,27,
,izostáza,1,5,219,694,izostaze,204,izostaze,1,30,
460,jabloň,18,7,358,,jabloně,,jabloň,1,104,
84,jalovica,6,6,110,,jalovice,,jalovice,1,26,
5,jarabica,2,6,106,,,,,0,,
,,,,,654,Jaroměře,202,Jaroměř,5,112,
328,jaskyňa,15,6,203,822,jeskyně,210,jeskyně,3,35,
647,jasnosť,9,8,541,1146,jasnosti,238,jasnost,1,121,
63,jašterica,2,6,110,,ještěřice,,ještěřice,1,,Genitive not in dictionary - consulted native speaker instead
